country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,0.133,0.126,0.0853,0.113,0.12,0.103,0.12,0.113,
Albania,,,,,,,,,,,,,,,,,,,0.0587,,0.0678,0.0982,0.0798,
Algeria,,,,,0.211,0.174,,0.178,0.179,,,,,,,,,,,,,,,
Andorra,,,,,,,,0.0608,,0.067,0.0695,0.0992,0.111,,0.178,0.133,0.135,,0.164,0.113,0.144,0.136,0.136,0.139
Antigua and Barbuda,,,,,,,,,,,,,,,0.123,,0.0981,,,,,,,
Argentina,,,,0.151,0.166,0.157,0.169,0.152,0.129,0.129,0.161,0.168,0.178,0.192,0.222,0.193,0.206,0.208,0.216,0.213,0.229,0.216,0.206,
Armenia,,,,,,,,,,,,,,,,,,,0.149,0.146,,,,
Australia,0.16,,,,,,,,,,,,,,,,,0.161,0.168,0.165,0.171,0.15,,
Austria,,,,0.289,0.293,0.272,0.271,0.27,0.279,0.266,0.254,0.257,0.254,0.263,0.293,0.284,0.294,0.267,0.276,0.271,0.273,0.277,,
Bahrain,,,,,,,,,,,,,,,,,,,0.159,0.158,0.175,,,
Bangladesh,,,,,0.0999,0.093,,0.104,0.113,0.122,,0.126,0.121,0.116,0.103,0.126,0.112,0.104,,,,0.0988,,
Barbados,,,,,0.174,0.211,0.253,0.255,0.28,0.247,0.226,,0.23,0.198,0.208,0.258,,,,0.193,,0.28,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.357,
Belgium,,,,,,,,,,,,,,,,,,,0.245,,,,,
Belize,,,,,0.18,0.164,,,,0.192,0.205,0.207,,0.22,0.235,0.262,,0.231,0.219,0.238,0.26,0.261,0.273,
Benin,,,,,,0.222,0.224,0.182,0.201,0.226,,,,,,,,,0.138,0.13,0.113,,,
Bhutan,,,,,,,,,,,,,,0.363,0.334,0.26,0.301,,0.324,0.339,0.294,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,0.435,,
Botswana,,,,,,,,,,,0.436,,0.406,,0.359,,,,,,,,,
Brazil,,,,,,,,0.101,,0.114,0.13,,0.176,0.191,0.2,0.21,0.219,0.197,0.206,0.206,0.215,,,
Brunei,,,,,,,,,,,,,,,,0.0764,,,,0.101,,0.236,,
Bulgaria,,,,0.14,,,0.184,0.181,0.198,0.102,0.212,0.202,0.195,0.227,0.234,0.231,0.207,0.191,0.222,,,,,
Burkina Faso,,,,,,,,,,,0.208,0.223,0.292,,,0.206,0.227,0.182,0.156,0.161,0.173,0.199,,
Burundi,,,,,,,0.533,0.526,,0.517,0.518,,,,0.447,0.486,0.406,0.329,0.312,,,,,
Cambodia,,,,0.108,,,0.0605,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,0.339,0.364,0.309,0.241,0.261,,0.18,0.178,,,,,,
Canada,,,,,,,,,,,,,,,,,0.183,,,,,,,
Cape Verde,,,,,,,,0.217,,,,0.193,0.165,0.157,0.14,,0.15,,0.165,0.163,0.187,0.199,0.197,
Central African Republic,,,,,,,,,,,,,,,0.154,,,,,,,,,
Chad,,,0.267,0.294,,,,,,0.251,0.248,,,,0.18,0.151,0.214,0.128,0.177,,,,,
Chile,,,,0.134,,0.143,,0.151,0.155,0.135,0.126,0.117,0.126,0.151,0.165,0.152,0.152,0.165,0.15,0.151,0.166,0.185,0.187,
China,,,,,0.114,,,,,,,,,,,,,,,,,,,
Colombia,,,,0.14,0.16,0.129,,,,0.151,0.145,,0.0992,0.147,0.15,0.15,0.144,0.147,0.162,0.169,0.157,0.156,0.173,0.176
Comoros,,,,,,,,0.152,,,,,,,,,,,0.0729,0.0848,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,0.0953,,,0.0529,,,,,
"Congo, Rep.",,,,,,,,0.165,,,,,,,,,,,,,,,,
Costa Rica,,,,,0.241,0.203,0.214,0.234,,0.17,,0.162,0.17,0.179,0.211,0.231,0.232,0.243,0.245,0.239,0.251,0.24,0.247,0.211
Cote d'Ivoire,,,,,0.414,,,,,,,,,,,,,,,0.272,0.242,0.228,0.208,0.188
Cuba,,,,,0.371,0.412,0.406,0.441,,0.442,0.478,0.427,0.535,0.536,0.507,0.519,,,,,,,,
Cyprus,,,,,0.263,0.273,0.282,0.31,0.34,0.314,0.324,0.322,0.325,0.346,0.373,0.369,0.378,,0.383,0.372,0.394,0.393,,
Czech Republic,,,,0.189,0.201,0.194,0.192,0.206,0.213,0.211,0.209,0.211,0.202,0.208,0.233,0.233,0.238,0.241,0.237,0.235,0.237,0.223,,
Denmark,,,,0.372,0.373,0.372,0.339,0.348,0.339,0.344,0.343,0.335,0.313,0.304,0.319,0.325,0.292,0.277,0.279,0.311,,,,
Djibouti,,,,,,,,,,,,,,0.311,,,,,,,0.0104,0.00728,,
Dominica,,,,,,,,,,,,,0.125,0.149,0.138,0.152,,,,,0.188,,,
Dominican Republic,,,,,,,,,,0.0313,0.046,,0.0373,0.0588,0.0677,0.0631,0.0652,0.0794,0.137,0.136,0.143,0.149,0.187,0.151
Ecuador,,,,,0.0832,0.0539,,,,,,,,,0.0438,0.0427,0.0459,0.0446,0.0508,0.0494,0.0508,0.0529,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,0.138,
El Salvador,,,,0.0864,,0.0824,,0.108,0.101,,0.107,0.0924,0.111,0.112,0.148,0.131,,0.116,0.115,0.119,0.131,0.15,0.155,0.151
Eritrea,,,,,,,0.213,0.203,,0.0931,,,,,,,,,,,,,,
Estonia,,,,0.223,0.274,,0.252,0.251,0.262,0.249,0.23,,0.229,0.288,0.321,0.31,0.267,0.271,0.232,0.238,0.223,0.212,,
Eswatini,,,,,0.221,0.248,0.269,0.228,0.389,0.249,0.343,0.3,,0.279,,0.276,0.303,,,0.282,,,,
Ethiopia,,,,,,,,,,,,,,,0.23,0.228,0.271,0.258,,,0.168,,,
Fiji,,,,,,,,,,0.161,,,,,,,0.0569,,,,,,,
Finland,,,,,0.249,0.232,0.243,0.253,0.26,0.311,0.308,0.305,0.296,0.308,0.344,0.349,0.347,0.259,0.261,0.261,0.258,0.248,,
France,,,,,0.288,0.284,,,0.299,0.293,0.272,0.272,0.266,0.27,0.287,0.284,0.272,0.268,0.267,0.268,0.265,0.263,,
Gambia,,,,,,,,,,,,,,0.148,0.131,0.14,,,,,,,,
Georgia,,,,,,,,,,,,,,0.136,,,,,,,,,,
Germany,,,,0.201,,,,,,,,0.203,0.211,0.211,0.239,0.239,0.228,0.23,0.232,0.232,0.23,0.23,,
Ghana,,,,,,,0.406,,,0.429,0.384,0.302,0.273,0.267,0.27,,0.263,0.391,0.193,0.2,,,,
Greece,,,,0.13,0.144,0.192,0.174,0.168,0.191,0.194,0.207,,,,,,,,,,0.235,0.23,,
Grenada,,,,,,,,,0.098,,,,,,,,,,,,,,0.109,
Guatemala,,,,,,0.0443,0.0543,0.0413,,0.0439,0.0447,0.0499,0.0607,0.0633,,0.0561,0.0492,0.0518,0.0547,0.0556,0.0507,0.0512,0.0509,0.0542
Guinea,,,,,,,,,,,,,,0.0406,,,0.0801,0.0683,,0.0825,,,,
Guyana,,,,,,,,,,,,,0.103,,0.0964,0.113,0.104,0.093,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,0.203,,,,,
Hungary,,,,0.18,0.186,0.2,0.195,0.205,0.261,0.231,0.226,0.228,0.229,0.224,0.221,0.212,0.205,0.185,0.163,0.231,0.212,0.231,,
Iceland,,,,,0.186,0.183,0.207,0.215,0.21,0.221,0.22,0.22,0.206,0.205,0.209,0.194,0.196,0.178,0.181,0.194,0.204,0.194,,
India,,,,,0.254,0.253,0.239,,0.203,0.183,0.173,0.167,,,0.136,0.141,0.152,0.157,0.169,,,,,
Indonesia,,,,,,,,,,,,,0.0949,0.0942,0.11,0.0828,,0.103,0.0987,0.0995,0.105,,,
Iran,,,,,,,0.0937,0.109,0.109,0.111,0.107,0.159,0.188,0.167,0.174,0.181,0.14,0.138,0.179,0.147,0.144,0.169,0.175,
Ireland,,,,0.169,0.164,0.159,0.166,0.172,0.185,0.201,0.206,0.216,0.225,0.268,0.287,0.277,0.276,0.258,0.237,0.216,0.164,0.159,,
Israel,,,,,0.187,0.178,0.186,0.188,0.183,0.179,0.172,0.173,0.16,0.171,0.159,0.153,0.153,0.182,0.178,0.177,0.186,0.187,,
Italy,,,,0.265,0.267,0.256,0.29,0.259,0.271,0.259,0.254,0.269,0.238,0.252,0.253,0.239,0.226,0.225,0.229,0.222,0.229,,,
Jamaica,,,,,,,,,0.206,0.181,0.194,,0.207,0.278,0.239,0.25,0.269,,0.308,0.242,0.288,0.276,0.272,0.297
Japan,,,,,,,,,,,,,,,,,,,0.247,0.24,,0.241,,
Jordan,,,,,0.17,,,0.179,0.197,0.185,0.203,0.176,0.178,0.166,,,0.186,,,,,,0.171,0.156
Kazakhstan,,,0.22,,,,,,,,,,,,,,,,0.187,0.195,0.192,0.212,,
Kenya,,,,,,0.147,0.161,,0.208,0.228,,0.217,,,,,,,,,,,,
Kuwait,,,0,,,,,,0.19,0.161,0.155,0.131,,0.14,,,0.218,,,0.173,,,,
Lao,,,0.182,,,,,0.0921,,,,,,,0.0756,0.0735,0.0798,0.0779,0.145,0.125,,,,
Latvia,,,0.351,0.23,0.23,0.229,0.24,0.246,0.229,0.225,,0.174,0.217,0.262,0.303,0.278,0.258,0.35,0.369,0.274,0.283,0.264,,
Lebanon,,,,,,,,,,,,,,,,,,0.0453,0.064,,,,,
Lesotho,,,1.25,,0.746,0.766,0.609,,,,0.493,0.425,,0.484,,,,,,,,,,0.3
Liberia,,,,,,,,,,,,,,,,,,,,,0.177,,,
Liechtenstein,,,,,,,,,0.11,0.109,,0.106,0.101,0.118,,0.124,0.133,,,,,,,
Lithuania,,,,,,,,,0.196,0.207,0.193,0.195,0.19,0.213,0.257,0.215,0.193,0.185,0.183,0.183,0.174,0.179,,
Luxembourg,,,,,,,,,0.234,0.224,0.226,0.202,0.185,0.223,,0.199,0.177,0.216,0.199,0.205,0.194,,,
Madagascar,,,,,,,,,,,0.215,0.154,0.125,0.136,0.116,,0.103,0.0841,,,,,,
Malawi,,,,,0.0955,0.251,0.218,,,,,,,,,0.174,0.249,,0.239,0.205,0.264,0.24,,
Malaysia,,,0.166,,,0.217,0.264,0.27,0.251,0.203,,0.138,0.138,0.12,0.213,0.181,0.192,0.208,0.201,,,0.211,0.226,0.228
Mali,,,,0.579,0.433,,,,,,,,,0.343,0.323,0.357,0.269,,0.246,0.219,0.231,0.205,0.255,
Malta,,,,0.198,,,,0.204,,0.172,,,0.278,0.315,,0.329,0.65,0.405,0.392,0.345,0.295,,,
Marshall Islands,,,,,,,,0.278,,,,,,,,,,,,,,,,
Mauritania,,,0.393,,0.318,,,,,,0.21,,,0.308,,0.265,0.186,0.195,0.153,,0.179,0.142,,
Mauritius,,,,,,,0.139,0.125,0.179,0.172,0.17,0.162,,0.143,0.141,0.184,0.16,0.182,0.192,0.287,0.307,0.313,0.32,0.313
Mexico,,,,0.141,0.115,,0.156,0.134,0.15,0.14,0.147,0.138,0.136,0.134,0.154,0.152,0.153,0.153,0.155,0.154,0.152,0.144,,
Moldova,,,,,,,,,,,,,0.384,0.316,0.394,0.328,0.319,0.316,,0.324,0.329,0.305,0.31,0.311
Monaco,,,0.0714,0.0699,0.0693,0.0671,,,,0.062,,,,,0.0617,0.059,0.0963,0.124,0.0847,0.0508,,0.0495,,
Mongolia,,,0.291,,,,,,,0.106,,,,,,0.154,,,,,,,,
Morocco,,,,0.435,0.435,,0.413,0.427,0.407,0.382,0.552,0.343,0.374,0.329,0.307,0.343,0.338,0.364,,,,,,
Mozambique,,,,,,,,,,,,0.717,,,,,,0.611,0.502,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,0.114,0.103
Namibia,,,,,0.31,0.289,0.277,0.227,0.217,,,0.185,,0.154,,,,,,,,,,
Nepal,,,,,0.13,0.114,0.135,0.105,0.0933,,,,,0.105,0.123,0.111,0.116,0.108,0.0968,0.112,0.105,,,
Netherlands,,,,0.2,,,,,,,,,,,,,,,,,0.227,0.231,,
New Zealand,,,0.216,,,,,,,,,,,,,,,,0.217,0.212,0.208,0.211,,
Nicaragua,,,,,,,,,,,0.0298,0.0351,,,,0.0743,,,,,,,,
Niger,,,,,,,,,,,,0.468,0.528,0.509,0.588,0.427,0.511,0.472,0.52,0.732,0.65,0.206,0.171,
Norway,,,0.181,0.298,,,,0.3,0.317,0.294,0.281,0.254,0.256,0.246,0.283,0.268,0.258,,0.245,0.243,0.264,0.268,,
Oman,,,0.189,0.216,,,,0.163,,,0.123,,,,0.15,,0.176,,0.205,,,0.35,0.36,
Pakistan,,,,,,,,,,,,,,,,,,,0.109,0.139,0.16,,,
Panama,,,,,0.185,0.209,0.137,0.154,,0.12,,,0.145,,,,0.0919,,,,,,,
Paraguay,,,,,,0.147,0.121,0.103,0.106,0.0932,,,0.109,,,0.112,0.126,0.123,,,,0.119,,
Peru,,,,0.112,0.105,0.102,0.0969,0.0918,0.104,0.106,0.101,0.104,0.102,0.105,0.114,0.106,0.0916,0.105,0.102,0.128,0.139,0.139,0.151,0.146
Philippines,,,0.107,,,0.103,0.0909,0.0893,0.0984,0.0885,0.0891,,0.0883,0.0919,,,,,,,,,,
Poland,,,,0.108,,,,0.198,0.197,0.214,0.22,0.229,0.218,0.227,0.237,0.241,0.233,0.224,0.229,0.227,0.223,0.226,,
Portugal,,,,,0.264,0.275,0.289,0.29,0.295,0.327,0.324,0.315,0.301,0.302,0.372,0.349,0.326,0.276,0.306,0.291,0.277,,,
Qatar,,,,,,,,,,,,,,,0.109,,,,,,,,,
Romania,,,,,,,,,0.138,0.147,0.158,0.0885,0.156,0.156,0.156,0.139,0.118,0.125,0.14,0.163,0.162,0.152,,
Rwanda,,,,,,0.4,,,,,,,0.293,0.308,,0.345,0.361,0.326,0.374,,0.312,0.371,,0.217
Samoa,,,,,0.0891,0.0845,0.0918,,,,,,,,,,,,,,,0.13,,
San Marino,,,,,,,,,,,,,,,,0.122,0.114,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,0.181,0.191,0.0856,,,,
Saudi Arabia,,,,,,,,,,,,,0.176,,,,,,,,,,,
Senegal,,,,0.277,,,,,,,0.249,0.243,,0.198,,0.253,0.214,0.186,0.209,0.247,0.205,0.114,,0.114
Serbia,,,,,,,,,,,,,0.122,0.127,0.128,0.124,0.123,,,,0.111,,,
Seychelles,,,,0.24,,,,0.145,0.158,,,,,,,,0.0717,0.0939,0.125,0.166,,0.153,,
Sierra Leone,,,,,,,,,,,,,,,,,0.131,0.116,0.0867,,,0.0551,0.143,
Singapore,,,,,,,,,,,,,,0.14,0.156,0.165,,,,,,,0.216,
Slovak Republic,,,0.0794,,0.181,0.159,0.164,0.183,0.171,0.165,0.149,0.145,0.143,0.147,0.179,0.189,0.18,0.184,0.201,0.21,0.211,0.201,,
Slovenia,,,,,,,0.251,0.241,0.243,,,,,,,0.305,0.308,0.295,0.258,0.251,0.24,0.23,,
South Africa,,,,,0.204,0.178,0.174,0.17,0.182,0.19,0.17,0.162,0.17,0.154,0.173,0.194,0.214,0.211,,,0.191,,0.196,0.214
South Korea,,,,0.138,0.144,,,,,,,,,,,,,,,,,0.282,,
South Sudan,,,,,,,,,,,,,,,,,0.0698,,,,,0.119,,
Spain,,,,0.239,0.241,0.228,0.221,0.228,0.232,0.232,0.229,0.235,0.237,0.254,0.276,0.261,0.259,0.21,0.185,0.182,0.185,0.189,,
Sri Lanka,,,,,,,,,,,,,,,,0.0734,0.0738,0.0599,0.0629,,,0.141,0.115,0.0767
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,0.124,0.176,,
St. Lucia,,,,,0.207,,,,,0.161,,,,,0.158,0.187,0.192,0.195,0.211,0.23,0.26,0.249,,0.227
St. Vincent and the Grenadines,,,,,,0.225,,,,,0.224,,0.174,,0.216,0.175,0.187,,0.216,0.219,0.211,0.204,0.2,0.201
Sweden,,,,0.27,0.249,0.244,0.241,0.243,0.243,0.316,0.307,0.299,0.29,0.292,0.312,0.302,0.31,0.247,0.248,0.245,0.236,0.238,,
Switzerland,,,,0.26,0.253,0.247,0.253,0.269,0.266,0.255,0.254,0.238,0.228,0.282,0.269,0.263,0.259,0.26,0.264,0.264,0.245,,,
Syria,,,0.184,0.185,0.216,0.234,,0.244,,,,,0.136,,0.151,,,0.142,,,,,,
Tanzania,,,,,,,,,,,,,,,,0.118,,,,0.149,,,,
Thailand,,,0.157,0.188,,,0.154,,,0.148,,,,0.0704,0.0845,0.14,0.142,0.184,0.18,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,0.0144,0.0254,0.0436,0.0792,,,,
Togo,,,,,0.285,0.219,,,,,,,0.169,,,,0.153,,,,,,,
Tonga,,,,,,,,0.0763,0.0879,0.0745,,,,,,,,,,,,,,
Tunisia,,,0.308,,0.25,0.246,0.238,0.217,0.238,0.212,0.219,,,0.246,,,,,,,0.524,,,
Turkey,,,,,,,,,,,,,,,,,,0.118,0.118,0.112,0.116,0.135,,
Ukraine,,,,,,,,,,,,,,,,,0.275,0.303,0.304,0.259,,0.256,0.303,
United Arab Emirates,,,,0.0815,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.227,0.211,0.219,0.219,0.236,0.25,0.238,0.235,0.245,0.256,0.265,0.284,0.312,0.295,,0.226,0.229,0.231,0.212,,
United States,,,,,,,,,,,,,,,,0.243,0.239,0.228,0.226,0.224,0.217,0.221,,
Uruguay,,,,,0.105,0.1,0.0958,0.0801,0.065,0.0845,0.0991,0.107,,,,,0.147,,,,,0.159,0.162,
Vanuatu,,,,,0.717,0.613,0.889,,,,,,,,,,,,,,0.21,,,
Venezuela,,,,,,,,,,,,0.0825,0.0796,,0.163,,,,,,0.148,,,
Yemen,,,,,,,,,,,,,,,,,0.118,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,0.222,0.222,,,,,
